14966,1574882335,"Скажите, а срок промокода odezhda  истёк? Не могу им воспользоваться, хотя написано что действует до 30.11"
14961,1574878852,Заказ я не увидел и сегодня
14960,1574878422,"Заказы № 10288795 и № 10288794. Первый заказ привезли с разлитым пятновыводителем, написала в поддержку, отвечают в час по чайной ложке - уже неделю идет переписка. Заказ № 10288794 вообще до меня не дошел - курьер отказался везти, так как коробка размокла, потому что пролилось содержимое. Пишу в поддержку - не отвечают. Заказывать тут больше нет желания("
14959,1574877134,"Позвонил курьер!(почти чудо). Говорит я скоро подъеду, спуститесь?(в смысле, мне у него в машине проверять и осматривать товар, бросить ребенка новорожденного?!). Это точно доставка?)"
14949,1574870515,В смысле? Мне уточнили что доставка сегодня с 16:00 до 20:00
14938,1574863223,"Проходит третий день недоставки заказа. Естественно что все узнаю я сам, мне никто не звонит. Курьерская служба после 10-ти моих звонков, конечно обещала мне сегодня доставить, но учитывая общий сервис, это 50/50. Нет тех слов, чтобы описать работу магазина и доставки."
14894,1574841633,Заказы 10809172 и 10365809 не дошли по вине ваших курьеров праздник детям испортили !!! Пришлось отказаться переносы посылки на другие дни и ответы курьеру не по пути  нравится очень!!!
14892,1574841241,Да супер! Только заказы по пять дней не можете доставить!
14877,1574836574,"Ужасный магазин, вопросы с клиентами НИКАК не решает, хотя ""косяки с ВАШЕЙ стороны!!!!
Уже три недели после обращения и каждый раз в ответ: ""Специалисты рассматривают, я оставлю комментарий. Как я вас понимаю."" Никто тут не работает и наплевать на клиентов."
14876,1574836242,"Работаю в одной из компаний - основательниц, компанией горжусь, но за сервис беру! стыдно, уже знаю в какой отдел жалобу писать. Просто часть заказа не привезли, а через неделю отменили ее."
14858,1574827828,Почему не работает промокод odezhda? До 30 же должен работать
14855,1574807656,Жду заказ 2 недели уже! Просто жесть. Даже с озоном такого никогда не было
